Explosive,C,H,N,O,Al,B,Ba,Ca,Cl,F,P,Pb,Si,Heat of Formation [kcal/mol],Density [g/cc],D (exp) [km/s],N_arb,M_arb,Q_arb,D_KJ
"1,3,5-Triamino-2,4,6-trinitrobenzene",6,6,6,6,0,0,0,0,0,0,0,0,0,-33.39814,1.8,7.35,0.029069767,27.2,1089.154496,7.545763988
"1,3,5-Trinitrobenzene",6,3,3,6,0,0,0,0,0,0,0,0,0,-10.39928,1.71,7.3,0.024647887,32,1351.177089,7.369484199
"2,4,6,2',4',6'-Hexanitrodiphenylamine",12,5,7,12,0,0,0,0,0,0,0,0,0,9.882,1.6,7.2,0.024487472,32.74418605,1368.751708,7.082862007
"2,4,6-Trinitrocresol",7,5,3,7,0,0,0,0,0,0,0,0,0,-60.2888,1.62,6.85,0.025720165,29.76,1216.918519,6.940380866
"3-Nitro-1,2,4-triazole-5-one",2,2,4,3,0,0,0,0,0,0,0,0,0,-24.086714,1.8,7.89,0.030769231,29.5,982.4098923,7.720667436
ABH,24,6,14,24,0,0,0,0,0,0,0,0,0,116,1.64,7.2,0.023455378,34.73170732,1460.411899,7.270507307
AMATEX-20 [21/41/38] [AN/RDX/TNT],3.89,5.2,4.02,5.37,0,0,0,0,0,0,0,0,0,-18.03,1.66,7.55,0.030889324,27.35946622,1352.225886,7.774579661
AMATEX-40 [42/20/38] [AN/RDX/TNT],3.26,4.78,3.18,4.74,0,0,0,0,0,0,0,0,0,-39.47,1.61,7.01,0.031383173,27.01066925,1273.115792,7.536167315
AMATOL-60/40 [AN/TNT],2.8,4.4,2.4,4.2,0,0,0,0,0,0,0,0,0,-58.44,1.6,5.76,0.031700288,26.63636364,1172.334294,7.362669341
AMATOL-80/20 [AN/TNT],1.4,4.2,2.2,3.6,0,0,0,0,0,0,0,0,0,-72.92,1.6,5.2,0.036106033,25.72151899,1087.38574,7.644199953
Ammonium Picrate,6,6,4,7,0,0,0,0,0,0,0,0,0,-92.38594,1.6,7.15,0.028455285,28.28571429,1093.553089,6.959135814
AN,0,4,2,3,0,0,0,0,0,0,0,0,0,-87.4,0.7,1.5,0.04375,24.57142857,940,4.974315586
AP,0,4,1,4,0,0,0,0,1,0,0,0,0,-70.6,1,3.7,0.042682927,26.85714286,1695.121951,7.010378957
